,Monthly Nominal GDP Index,Monthly Real GDP Index
2006 - Oct,13966.317,15367.638
2006 - Nov,14059.45,15475.664
2006 - Dec,14092.913,15458.386
2007 - Jan,14134.826,15443.983
2007 - Feb,14286.398,15546.526
2007 - Mar,14225.729,15447.025
2007 - Apr,14363.15,15575.939
2007 - May,14400.871,15569.886
2007 - Jun,14442.225,15588.004
2007 - Jul,14423.368,15537.687
2007 - Aug,14601.637,15723.091
2007 - Sep,14667.346,15754.45
2007 - Oct,14664.564,15733.452
2007 - Nov,14714.896,15759.36
2007 - Dec,14765.714,15809.059
2008 - Jan,14802.166,15843.064
2008 - Feb,14627.571,15621.46
2008 - Mar,14689.877,15644.684
2008 - Apr,14757.844,15694.729
2008 - May,14802.074,15735.022
2008 - Jun,15037.186,15948.425
2008 - Jul,14973.677,15816.607
2008 - Aug,14917.052,15742.317
2008 - Sep,14806.268,15569.995
2008 - Oct,14695.036,15446.615
2008 - Nov,14698.719,15461.753
2008 - Dec,14430.869,15191.621
2009 - Jan,14478.549,15229.531
2009 - Feb,14443.126,15180.05
2009 - Mar,14371.028,15153.134
2009 - Apr,14360.251,15148.233
2009 - May,14378.011,15166.301
2009 - Jun,14405.446,15170.947
2009 - Jul,14376.481,15152.523
2009 - Aug,14479.895,15244.867
2009 - Sep,14490.27,15252.795
2009 - Oct,14693.979,15451.974
2009 - Nov,14665.822,15386.444
2009 - Dec,14593.944,15299.265
2010 - Jan,14707.101,15398.895
2010 - Feb,14735.584,15436.031
2010 - Mar,14851.148,15533.263
2010 - Apr,14945.183,15594.19
2010 - May,14956.676,15573.743
2010 - Jun,15038.721,15649.199
2010 - Jul,15111.451,15720.767
2010 - Aug,15108.363,15690.409
2010 - Sep,15205.001,15767.825
2010 - Oct,15286.815,15807.553
2010 - Nov,15265.071,15761.239
2010 - Dec,15376.527,15855.321
2011 - Jan,15257.542,15713.742
2011 - Feb,15282.03,15692.241
2011 - Mar,15514.76,15903.71
2011 - Apr,15584.382,15940.179
2011 - May,15566.883,15870.114
2011 - Jun,15521.339,15820.354
2011 - Jul,15615.834,15862.103
2011 - Aug,15715.893,15935.319
2011 - Sep,15611.317,15814.806
2011 - Oct,15857.624,16079.843
2011 - Nov,15838.256,16034.597
2011 - Dec,15830.921,16031.895
2012 - Jan,15940.727,16085.062
2012 - Feb,16208.422,16312.92
2012 - Mar,16057.322,16141.827
2012 - Apr,16179.49,16232.573
2012 - May,16220.435,16273.589
2012 - Jun,16221.465,16254.985
2012 - Jul,16320.981,16324.533
2012 - Aug,16271.274,16234.588
2012 - Sep,16366.365,16287.348
2012 - Oct,16334.692,16218.024
2012 - Nov,16406.554,16294.769
2012 - Dec,16519.912,16387.423
2013 - Jan,16675.771,16514.934
